日付け,終値,始値,高値,安値,変化率 %
2021年11月16日,"5,361.000","5,361.000","5,361.000","5,361.000",-0.19%
2021年11月15日,"5,371.000","5,371.000","5,371.000","5,371.000",-0.15%
2021年11月12日,"5,379.000","5,379.000","5,379.000","5,379.000",-0.19%
2021年11月11日,"5,389.000","5,389.000","5,389.000","5,389.000",-0.31%
2021年11月10日,"5,406.000","5,406.000","5,406.000","5,406.000",0.06%
2021年11月09日,"5,403.000","5,403.000","5,403.000","5,403.000",0.06%
2021年11月08日,"5,400.000","5,400.000","5,400.000","5,400.000",0.35%
2021年11月05日,"5,381.000","5,381.000","5,381.000","5,381.000",0.32%
2021年11月04日,"5,364.000","5,364.000","5,364.000","5,364.000",0.04%
2021年11月02日,"5,362.000","5,362.000","5,362.000","5,362.000",-0.02%
2021年11月01日,"5,363.000","5,363.000","5,363.000","5,363.000",-0.07%
2021年10月29日,"5,367.000","5,367.000","5,367.000","5,367.000",0.06%
2021年10月28日,"5,364.000","5,364.000","5,364.000","5,364.000",0.00%
2021年10月27日,"5,364.000","5,364.000","5,364.000","5,364.000",0.06%
2021年10月26日,"5,361.000","5,361.000","5,361.000","5,361.000",-0.06%
2021年10月25日,"5,364.000","5,364.000","5,364.000","5,364.000",-0.09%
2021年10月22日,"5,369.000","5,369.000","5,369.000","5,369.000",-0.06%
2021年10月21日,"5,372.000","5,372.000","5,372.000","5,372.000",0.00%
2021年10月20日,"5,372.000","5,372.000","5,372.000","5,372.000",0.06%
2021年10月19日,"5,369.000","5,369.000","5,369.000","5,369.000",-0.09%
2021年10月18日,"5,374.000","5,374.000","5,374.000","5,374.000",0.07%
2021年10月15日,"5,370.000","5,370.000","5,370.000","5,370.000",0.28%
2021年10月14日,"5,355.000","5,355.000","5,355.000","5,355.000",0.07%
2021年10月13日,"5,351.000","5,351.000","5,351.000","5,351.000",-0.19%
2021年10月12日,"5,361.000","5,361.000","5,361.000","5,361.000",-0.20%
2021年10月11日,"5,372.000","5,372.000","5,372.000","5,372.000",-0.15%
2021年10月08日,"5,380.000","5,380.000","5,380.000","5,380.000",0.19%
2021年10月07日,"5,370.000","5,370.000","5,370.000","5,370.000",-0.32%
2021年10月06日,"5,387.000","5,387.000","5,387.000","5,387.000",-0.02%
2021年10月05日,"5,388.000","5,388.000","5,388.000","5,388.000",-0.11%
2021年10月04日,"5,394.000","5,394.000","5,394.000","5,394.000",0.04%
2021年10月01日,"5,392.000","5,392.000","5,392.000","5,392.000",-0.06%
2021年09月30日,"5,395.000","5,395.000","5,395.000","5,395.000",0.11%
